iter	MultiClass
0	1.050919294
1	1.007879084
2	0.9703626011
3	0.9397238301
4	0.9014160113
5	0.8744898359
6	0.8506780332
7	0.8249113317
8	0.794593097
9	0.7691841913
10	0.7465205353
11	0.7288632601
12	0.7097130751
13	0.6899082155
14	0.6740007262
15	0.654171906
16	0.6394368661
17	0.6247393979
18	0.6083843867
19	0.5972150669
20	0.5826163525
21	0.5695924012
22	0.5587572148
23	0.5484881277
24	0.5357983073
25	0.5255898007
26	0.5166751097
27	0.507270745
28	0.4976579227
29	0.4885539355
30	0.4807087825
31	0.4734749273
32	0.4670857855
33	0.4594264341
34	0.4516782924
35	0.4472491886
36	0.4414298046
37	0.4364330693
38	0.4305005158
39	0.4254475303
40	0.4195328129
41	0.413255235
42	0.4084063689
43	0.403645972
44	0.3978958449
45	0.3927471831
46	0.3889810148
47	0.3834986215
48	0.3786422461
49	0.3743349796
50	0.3700221185
51	0.3660996558
52	0.3613444541
53	0.3569053657
54	0.3539437535
55	0.3509250142
56	0.347577014
57	0.3443933399
58	0.3404354369
59	0.3373390337
60	0.3344214285
61	0.3301287043
62	0.3271327294
63	0.3236005517
64	0.320832055
65	0.3174952422
66	0.3145250604
67	0.3109529314
68	0.3085751995
69	0.305910595
70	0.3023437256
71	0.3000166906
72	0.2973176007
73	0.2955131696
74	0.2933995842
75	0.2911358922
76	0.28819266
77	0.2854282754
78	0.2830862397
79	0.2802988685
80	0.2786574606
81	0.2759422399
82	0.2733187473
83	0.270602567
84	0.2687030294
85	0.2664267121
86	0.264252701
87	0.261875933
88	0.2585201723
89	0.2571561824
90	0.2551281656
91	0.2526118242
92	0.2503843554
93	0.2488895263
94	0.2465505371
95	0.2436202308
96	0.241689162
97	0.2401104541
98	0.2386168442
99	0.2369657862
100	0.2349218924
101	0.2327070617
102	0.2303691812
103	0.2287104227
104	0.2267768631
105	0.225100481
106	0.2232497696
107	0.2216257096
108	0.2196722758
109	0.2176236338
110	0.2158315533
111	0.2148525933
112	0.213696203
113	0.2124206157
114	0.210438004
115	0.2081392111
116	0.2066319547
117	0.2047804353
118	0.203306382
119	0.2015384497
120	0.199742081
121	0.1977977043
122	0.1968321047
123	0.1948467136
124	0.1933992205
125	0.1920284917
126	0.1907108938
127	0.1896070285
128	0.1887924594
129	0.1870045485
130	0.1854241144
131	0.1835232129
132	0.182020239
133	0.1812429135
134	0.1790177338
135	0.1773030993
136	0.1760588893
137	0.175010438
138	0.1742048369
139	0.1727338536
140	0.1715272531
141	0.1704498023
142	0.1695311007
143	0.1684766573
144	0.1674643694
145	0.1658722408
146	0.1644053264
147	0.1635267456
148	0.1616473958
149	0.1606788432
150	0.1597499728
151	0.1588203075
152	0.1575951689
153	0.1560199221
154	0.1551421096
155	0.1540731606
156	0.1530983811
157	0.1522702548
158	0.150898312
159	0.1500538149
160	0.1489376893
161	0.148208785
162	0.1475067386
163	0.1463748124
164	0.145172587
165	0.1441512158
166	0.1432796613
167	0.1421829536
168	0.1416697114
169	0.1407908532
170	0.1397015319
171	0.1390459915
172	0.1384567883
173	0.1376882335
174	0.1366105263
175	0.1353635561
176	0.1348970718
177	0.134293385
178	0.1331665544
179	0.1324843391
180	0.1318273548
181	0.13138347
182	0.1306558517
183	0.1298608003
184	0.1289079439
185	0.1283274036
186	0.1274984664
187	0.1267526984
188	0.1261401474
189	0.1255775514
190	0.1249362435
191	0.1243365169
192	0.1235039871
193	0.1227649578
194	0.1220845353
195	0.1216353178
196	0.1211409819
197	0.1203535168
198	0.1194991261
199	0.1189683709
200	0.1186811036
201	0.1180656068
202	0.1173555703
203	0.1169582457
204	0.1163274434
205	0.1156971472
206	0.1148689724
207	0.1142914534
208	0.1137606062
209	0.1131031138
210	0.1125601817
211	0.1118678147
212	0.1111709611
213	0.1104296066
214	0.1097823377
215	0.1090466026
216	0.10849765
217	0.1076376949
218	0.1071390692
219	0.1067271697
220	0.1061614558
221	0.1058478525
222	0.1051306045
223	0.1047980317
224	0.1041663074
225	0.1035799027
226	0.102848826
227	0.1023637095
228	0.101905737
229	0.1014581496
230	0.1008235434
231	0.1002679375
232	0.09983019718
233	0.09921829466
234	0.09876308517
235	0.09833795546
236	0.09795775384
237	0.09749053185
238	0.09691809451
239	0.09660601397
240	0.09623842631
241	0.09560016327
242	0.09508155799
243	0.09456124422
244	0.09404456432
245	0.09351257503
246	0.09302720181
247	0.09266444376
248	0.09230986482
249	0.09170464393
250	0.09121701265
251	0.09085512241
252	0.09045844824
253	0.08999827819
254	0.08967326636
255	0.08923800105
256	0.08887743308
257	0.08842840248
258	0.08801667753
259	0.0876951278
260	0.0872755837
261	0.08683772095
262	0.08639076897
263	0.08592187564
264	0.08565833676
265	0.08532959786
266	0.08480514637
267	0.08453201687
268	0.08406215164
269	0.08349893715
270	0.08308454466
271	0.08274343641
272	0.08243607388
273	0.08214710886
274	0.08193308988
275	0.08162894398
276	0.08105792451
277	0.08057670142
278	0.08036958647
279	0.08008617207
280	0.07976051412
281	0.0793314449
282	0.07914645124
283	0.07890554238
284	0.07857928456
285	0.0782056315
286	0.07802484845
287	0.07753639672
288	0.07717406584
289	0.07674354798
290	0.07642434897
291	0.07606326796
292	0.07580384568
293	0.07554509341
294	0.07528918409
295	0.07512863865
296	0.0747390853
297	0.07446266774
298	0.07409470605
299	0.07384160556
300	0.07353764201
301	0.07328768343
302	0.07306115211
303	0.07282043724
304	0.07263144725
305	0.07248337929
306	0.07214518204
307	0.07172743489
308	0.07138466843
309	0.07117035767
310	0.07100786454
311	0.07077376297
312	0.0705917947
313	0.07026722922
314	0.06990563815
315	0.06967842961
316	0.06946801007
317	0.06910615767
318	0.06885354905
319	0.06857337937
320	0.06839450588
321	0.06820817012
322	0.06795971371
323	0.06760893584
324	0.06741918393
325	0.06723121975
326	0.0668266925
327	0.06654118411
328	0.06648121204
329	0.06613586979
330	0.06594019875
331	0.06583022018
332	0.06554967111
333	0.06518604884
334	0.065006141
335	0.06454462674
336	0.0643826388
337	0.06406216602
338	0.06379550508
339	0.06357316592
340	0.06335981224
341	0.06313205559
342	0.06282491455
343	0.06262220532
344	0.06241765477
345	0.06200689033
346	0.06178802431
347	0.06165181782
348	0.06145869389
349	0.06134057365
350	0.06117721088
351	0.06095811303
352	0.06075356609
353	0.06044206505
354	0.06023808436
355	0.05999401683
356	0.05975411979
357	0.05958079794
358	0.05931837235
359	0.05908857701
360	0.05881150159
361	0.05856956273
362	0.05827783642
363	0.05801015422
364	0.05780012562
